Popsize	Mutrate1	Mutrate2	Generations	Mut1	Mut2
10000 0.000000390625 .0000000390625	1000000	87	9
10000 0.000001562 .0000001562	500000	138	14
10000 0.00000625 .000000625	300000	375	35
10000	0.000025	0.0000025	150000	466	45
10000	0.0001	0.00001	80000	520	51
10000	0.0004	0.00004	40000	664	65
10000	0.0016	0.00016	20000	644	66
10000	0.0064	0.00064	10000	856	80
