Popsize,Mutrate1,Mutrate2,Generations,Mut1,Mut2,TotGenerations
10000,0.000000390625,0.0000000390625,1000000,910,90,1565313
10000,0.000001562,0.0000001562,1000000,908,102,393632
10000,0.00000625,0.000000625,1000000,903,97,170959
10000,0.000025,0.0000025,1000000,913,87,116837
10000,0.0001,0.00001,1000000,899,101,121512
10000,0.0004,0.00004,1000000,907,93,127225
10000,0.0016,0.00016,1000000,914,86,136551
10000,0.0064,0.00064,1000000,919,89,140600
